/home/inventree/env/lib/python3.10/site-packages/allauth/exceptions.py:9: UserWarning: allauth.exceptions is deprecated, use allauth.core.exceptions
  warnings.warn("allauth.exceptions is deprecated, use allauth.core.exceptions")
Watching for file changes with StatReloader
Watching for file changes with StatReloader
[14/Aug/2024 04:44:08] "GET /part/ HTTP/1.1" 200 27271
[14/Aug/2024 04:44:09] "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/bootstrap-table/extensions/group-by-v2/bootstrap-table-group-by.min.css HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/bootstrap-table/bootstrap-table.min.css HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/bootstrap-table/extensions/filter-control/bootstrap-table-filter-control.css HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/treegrid/css/jquery.treegrid.css HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/fontawesome/css/brands.min.css HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/fontawesome/css/solid.min.css HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/select2/css/select2.min.css HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/select2/css/select2-bootstrap-5-theme.css HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/fullcalendar/main.min.css HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/script/jquery-ui/jquery-ui.min.css HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/easymde/easymde.min.css HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/css/inventree.css HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/css/color-themes/default.css HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/script/jquery_3.3.1_jquery.min.js HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/script/jquery.form.min.js HTTP/1.1" 304 0
[14/Aug/2024 04:44:09] "GET /static/script/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 0
[14/Aug/2024 04:44:10] "GET /static/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
[14/Aug/2024 04:44:10] "GET /static/script/bootstrap/bootstrap-treeview.js HTTP/1.1" 304 0
[14/Aug/2024 04:44:10] "GET /static/img/inventree.png HTTP/1.1" 304 0
[14/Aug/2024 04:44:10] "GET /static/fontawesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
